canonical_vi,canonical_en,parent_vi,parent_en,keywords
Data Warehouse Architecture,Data Warehouse Architecture,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data warehouse architecture|dwh architecture|enterprise data warehouse|edw
Lakehouse Architecture,Lakehouse Architecture,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,lakehouse|data lakehouse|unified analytics|open table format
Data Pipeline Patterns,Data Pipeline Patterns,ETL & Điều phối,ETL & Orchestration,data pipeline patterns|etl patterns|orchestration patterns|workflow design
Change Data Capture,Change Data Capture,ETL & Điều phối,ETL & Orchestration,cdc|change data capture|data replication|incremental load
Data Serialization,Data Serialization,Kỹ thuật dữ liệu,Data Engineering,data serialization|parquet|avro|protobuf|data format
Data Compression,Data Compression,Kỹ thuật dữ liệu,Data Engineering,data compression|columnar storage|encoding|compression ratio
Indexing Strategies,Indexing Strategies,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,indexing|b-tree|bitmap index|columnar index|index optimization
Partitioning Strategies,Partitioning Strategies,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,partitioning|data partition|range partition|hash partition|list partition
Data Sampling,Data Sampling,Thống kê & Toán học,Statistics & Math,data sampling|random sampling|stratified sampling|cluster sampling
A/B Testing Design,A/B Testing Design,Thống kê & Toán học,Statistics & Math,ab test design|experiment design|split testing|multivariate testing
Statistical Significance,Statistical Significance,Thống kê & Toán học,Statistics & Math,statistical significance|p-value|confidence interval|hypothesis testing
Power Analysis,Power Analysis,Thống kê & Toán học,Statistics & Math,power analysis|sample size|effect size|statistical power
Regression Analysis,Regression Analysis,Thống kê & Toán học,Statistics & Math,regression analysis|linear regression|logistic regression|multiple regression
Classification Algorithms,Classification Algorithms,Học máy cổ điển,Classical ML,classification|decision tree|random forest|svm|naive bayes
Clustering Algorithms,Clustering Algorithms,Học máy cổ điển,Classical ML,clustering|k-means|dbscan|hierarchical clustering|gaussian mixture
Ensemble Methods,Ensemble Methods,Học máy cổ điển,Classical ML,ensemble methods|bagging|boosting|stacking|voting classifier
Feature Selection,Feature Selection,Học máy cổ điển,Classical ML,feature selection|feature importance|variable selection|feature ranking
Hyperparameter Tuning,Hyperparameter Tuning,Học máy cổ điển,Classical ML,hyperparameter tuning|grid search|random search|bayesian optimization
Cross-validation,Cross-validation,Thống kê & Toán học,Statistics & Math,cross-validation|k-fold|stratified k-fold|leave one out
Model Interpretation,Model Interpretation,Học máy cổ điển,Classical ML,model interpretation|shap|lime|feature importance|model explainability
Model Deployment,Model Deployment,MLOps & DevOps,MLOps & DevOps,model deployment|model serving|model inference|production model
Model Monitoring,Model Monitoring,MLOps & DevOps,MLOps & DevOps,model monitoring|model drift|data drift|concept drift|performance monitoring
Model Versioning,Model Versioning,MLOps & DevOps,MLOps & DevOps,model versioning|model registry|experiment tracking|model lineage
A/B Testing Models,A/B Testing Models,MLOps & DevOps,MLOps & DevOps,model ab testing|champion challenger|canary deployment|shadow deployment
Data Encryption,Data Encryption,Bảo mật dữ liệu,Data Security,data encryption|aes|rsa|encryption at rest|encryption in transit
Data Masking,Data Masking,Bảo mật dữ liệu,Data Security,data masking|data anonymization|pii protection|data obfuscation
Access Control,Access Control,Bảo mật dữ liệu,Data Security,access control|rbac|abac|iam|permission management
Data Audit,Data Audit,Quản trị dữ liệu,Data Governance,data audit|audit trail|data logging|compliance audit
Regulatory Compliance,Regulatory Compliance,Quản trị dữ liệu,Data Governance,regulatory compliance|gdpr|ccpa|pdpa|data protection regulation
Data Anonymization,Data Anonymization,Bảo mật dữ liệu,Data Security,data anonymization|k-anonymity|differential privacy|pseudonymization
Consent Management,Consent Management,Quản trị dữ liệu,Data Governance,consent management|user consent|opt-in|opt-out|privacy consent
Data Portability,Data Portability,Quản trị dữ liệu,Data Governance,data portability|data export|data migration|data transfer
Right to be Forgotten,Right to be Forgotten,Quản trị dữ liệu,Data Governance,right to be forgotten|data deletion|erasure request|gdpr article 17
Data Minimization,Data Minimization,Quản trị dữ liệu,Data Governance,data minimization|purpose limitation|data collection principle|privacy by design
